Name,Threads,Optimization,Time,N
var714,1,O0,0.020000,66
var714,1,O3,0.000000,66
var714,1,O2,0.010000,66
var714,1,O1,0.010000,66
var714,1,Ofast,0.000000,66
var714,2,Ofast,0.000000,66
var714,2,O1,0.010000,66
var714,2,O2,0.010000,66
var714,2,O0,0.020000,66
var714,2,O3,0.000000,66
var714,3,Ofast,0.000000,66
var714,3,O2,0.010000,66
var714,3,O0,0.020000,66
var714,3,O3,0.000000,66
var714,3,O1,0.010000,66
var714,4,Ofast,0.000000,66
var714,4,O1,0.010000,66
var714,4,O0,0.020000,66
var714,4,O2,0.010000,66
var714,4,O3,0.000000,66
var714,5,O1,0.010000,66
var714,5,O2,0.010000,66
var714,5,Ofast,0.000000,66
var714,5,O0,0.020000,66
var714,5,O3,0.000000,66
var714,6,O3,0.000000,66
var714,6,O0,0.020000,66
var714,6,Ofast,0.000000,66
var714,6,O1,0.010000,66
var714,6,O2,0.010000,66
var714,7,O3,0.000000,66
var714,7,O1,0.010000,66
var714,7,O0,0.020000,66
var714,7,O2,0.010000,66
var714,7,Ofast,0.000000,66
var714,8,O0,0.020000,66
var714,8,O2,0.010000,66
var714,8,O3,0.000000,66
var714,8,Ofast,0.000000,66
var714,8,O1,0.010000,66
var714,9,O0,0.020000,66
var714,9,Ofast,0.000000,66
var714,9,O2,0.010000,66
var714,9,O3,0.000000,66
var714,9,O1,0.010000,66
var714,10,O2,0.010000,66
var714,10,Ofast,0.000000,66
var714,10,O3,0.000000,66
var714,10,O1,0.010000,66
var714,10,O0,0.020000,66
var714,20,Ofast,0.000000,66
var714,20,O3,0.000000,66
var714,20,O0,0.020000,66
var714,20,O2,0.010000,66
var714,20,O1,0.010000,66
var714,40,Ofast,0.000000,66
var714,40,O0,0.020000,66
var714,40,O2,0.010000,66
var714,40,O1,0.010000,66
var714,40,O3,0.000000,66
var714,60,O2,0.010000,66
var714,60,O0,0.030000,66
var714,60,O3,0.000000,66
var714,60,O1,0.010000,66
var714,60,Ofast,0.000000,66
var714,80,O1,0.000000,66
var714,80,O2,0.010000,66
var714,80,O0,0.020000,66
var714,80,O3,0.000000,66
var714,80,Ofast,0.000000,66
var714,100,O0,0.020000,66
var714,100,Ofast,0.000000,66
var714,100,O3,0.000000,66
var714,100,O1,0.010000,66
var714,100,O2,0.010000,66
var714,120,O3,0.000000,66
var714,120,Ofast,0.000000,66
var714,120,O2,0.010000,66
var714,120,O0,0.020000,66
var714,120,O1,0.010000,66
var714,140,O2,0.010000,66
var714,140,O1,0.010000,66
var714,140,Ofast,0.000000,66
